Test_ID,4n-64ch-1to1 ,4n-512ch-1to1 ,8n-64ch-1to1,8n-512ch-1to1,16n-64ch-1to1,16n-512ch-1to1
30-ave,"1,666,195","1,664,937","661,423","3,303,290","1,285,159","1,279,258"
40-ave,"1,664,993","1,661,868","496,067","3,300,941","963,869","959,443"
5-ave,"1,665,031","1,620,331","3,321,792","3,315,581","6,420,336","6,389,789"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,1673895,1661477,3276648,3305853,6442297,6353696
2,1678491,1672997,3310546,3312379,6424706,6394560
3,1640845,1666848,3332441,3313210,6450483,6326638
4,1667657,1669855,3328185,3276548,6348844,6424301
5,1664266,1670733,3361142,3369913,6435348,6449750
6,1663102,1658258,3233718,3319211,6453098,6428790
7,1679379,1670145,,3286409,,
8,1661347,1654242,,3303105,,
9,1678275,1677441,,3290875,,
10,1635060,1655406,,3340530,,
11,1680040,1634032,,3335608,,
12,1675638,1661437,,3268084,,
13,1662175,1674837,,3339409,,
14,1683283,1677111,,3322007,,
15,1660570,1651914,,3306773,,
16,1659447,1684617,,3298257,,
17,1677356,1638170,,3349519,,
18,1654464,1660319,,3295392,,
19,1673140,1677947,,3325190,,
20,1676778,1692472,,3268488,,
21,1675129,1674634,,3323798,,
22,1652982,1679354,,3301370,,
23,1666934,1680904,,3270021,,
24,1665298,1663423,,3285034,,
25,1633844,1649681,,3308042,,
26,1671491,1658322,,3286466,,
27,1632730,1646629,,3330048,,
28,1682998,1672619,,3301783,,
29,1683400,1658353,,3312861,,
30,1675827,1653929,,3152520,,
31,1682414,1666977,,3314767,,
32,1654408,1646962,,3288465,,
33,1658231,1654260,,3267628,,
34,1658231,1662422,,3296186,,
35,1671826,1658757,,3315417,,
36,1672822,1660607,,3296580,,
37,1682430,1635341,,3297892,,
38,1674392,1644618,,3257765,,
39,1578031,1647621,,3304783,,
40,1681097,1649043,,3299451,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
